"global_step","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MIN","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MAX","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MIN","22291472_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MAX","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MIN","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MAX","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MIN","22291471_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MAX","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MIN","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MAX","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MIN","22291470_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MAX","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MIN","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MAX","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MIN","22291469_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MAX","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MIN","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - _step__MAX","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MIN","22291468_hlg_1cubes_b2048_mb832_lr6e-5_w2048 - episodic_stats/failure_2_last__MAX","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MIN","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MAX","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MIN","22279908_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MAX","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MIN","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MAX","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MIN","22279907_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MAX","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MIN","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MAX","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MIN","22279905_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MAX","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MIN","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MAX","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MIN","22279906_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MAX","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MIN","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - _step__MAX","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MIN","22279904_hlg_1cubes_b2048_mb832_lr1.26e-4_w2048 - episodic_stats/failure_2_last__MAX"
"73728000","52","52","52","0.134765625","0.134765625","0.134765625","52","52","52","0.154296875","0.154296875","0.154296875","52","52","52","0.24169921875","0.24169921875","0.24169921875","52","52","52","0.15087890625","0.15087890625","0.15087890625","52","52","52","0.22314453125","0.22314453125","0.22314453125","52","52","52","0.24462890625","0.24462890625","0.24462890625","52","52","52","0.21826171875","0.21826171875","0.21826171875","52","52","52","0.17236328125","0.17236328125","0.17236328125","52","52","52","0.2333984375","0.2333984375","0.2333984375","52","52","52","0.173828125","0.173828125","0.173828125"
"75776000","53","53","53","0.13671875","0.13671875","0.13671875","53","53","53","0.13818359375","0.13818359375","0.13818359375","53","53","53","0.197265625","0.197265625","0.197265625","53","53","53","0.18212890625","0.18212890625","0.18212890625","53","53","53","0.18212890625","0.18212890625","0.18212890625","53","53","53","0.224609375","0.224609375","0.224609375","53","53","53","0.21728515625","0.21728515625","0.21728515625","53","53","53","0.14990234375","0.14990234375","0.14990234375","53","53","53","0.19677734375","0.19677734375","0.19677734375","53","53","53","0.126953125","0.126953125","0.126953125"
"77824000","54","54","54","0.1435546875","0.1435546875","0.1435546875","54","54","54","0.1484375","0.1484375","0.1484375","54","54","54","0.189453125","0.189453125","0.189453125","54","54","54","0.14111328125","0.14111328125","0.14111328125","54","54","54","0.15576171875","0.15576171875","0.15576171875","54","54","54","0.193359375","0.193359375","0.193359375","54","54","54","0.1962890625","0.1962890625","0.1962890625","54","54","54","0.162109375","0.162109375","0.162109375","54","54","54","0.18115234375","0.18115234375","0.18115234375","54","54","54","0.1220703125","0.1220703125","0.1220703125"
"79872000","56","56","56","0.12646484375","0.12646484375","0.12646484375","56","56","56","0.13720703125","0.13720703125","0.13720703125","56","56","56","0.16552734375","0.16552734375","0.16552734375","56","56","56","0.16796875","0.16796875","0.16796875","56","56","56","0.17822265625","0.17822265625","0.17822265625","56","56","56","0.18896484375","0.18896484375","0.18896484375","56","56","56","0.18505859375","0.18505859375","0.18505859375","56","56","56","0.12841796875","0.12841796875","0.12841796875","56","56","56","0.169921875","0.169921875","0.169921875","56","56","56","0.12451171875","0.12451171875","0.12451171875"
"81920000","57","57","57","0.130859375","0.130859375","0.130859375","57","57","57","0.14013671875","0.14013671875","0.14013671875","57","57","57","0.154296875","0.154296875","0.154296875","57","57","57","0.14697265625","0.14697265625","0.14697265625","57","57","57","0.14306640625","0.14306640625","0.14306640625","57","57","57","0.197265625","0.197265625","0.197265625","57","57","57","0.18359375","0.18359375","0.18359375","57","57","57","0.13623046875","0.13623046875","0.13623046875","57","57","57","0.17724609375","0.17724609375","0.17724609375","57","57","57","0.10986328125","0.10986328125","0.10986328125"
"86016000","60","60","60","0.1298828125","0.1298828125","0.1298828125","60","60","60","0.130859375","0.130859375","0.130859375","60","60","60","0.1396484375","0.1396484375","0.1396484375","60","60","60","0.1611328125","0.1611328125","0.1611328125","60","60","60","0.15087890625","0.15087890625","0.15087890625","60","60","60","0.16162109375","0.16162109375","0.16162109375","60","60","60","0.1650390625","0.1650390625","0.1650390625","60","60","60","0.109375","0.109375","0.109375","60","60","60","0.1884765625","0.1884765625","0.1884765625","60","60","60","0.1181640625","0.1181640625","0.1181640625"
"88064000","61","61","61","0.1103515625","0.1103515625","0.1103515625","61","61","61","0.12841796875","0.12841796875","0.12841796875","61","61","61","0.154296875","0.154296875","0.154296875","61","61","61","0.134765625","0.134765625","0.134765625","61","61","61","0.12255859375","0.12255859375","0.12255859375","61","61","61","0.1708984375","0.1708984375","0.1708984375","61","61","61","0.1416015625","0.1416015625","0.1416015625","61","61","61","0.11767578125","0.11767578125","0.11767578125","61","61","61","0.16162109375","0.16162109375","0.16162109375","61","61","61","0.11279296875","0.11279296875","0.11279296875"
"90112000","63","63","63","0.09814453125","0.09814453125","0.09814453125","63","63","63","0.11572265625","0.11572265625","0.11572265625","63","63","63","0.125","0.125","0.125","63","63","63","0.14404296875","0.14404296875","0.14404296875","63","63","63","0.12890625","0.12890625","0.12890625","63","63","63","0.14453125","0.14453125","0.14453125","63","63","63","0.12939453125","0.12939453125","0.12939453125","63","63","63","0.1240234375","0.1240234375","0.1240234375","63","63","63","0.14208984375","0.14208984375","0.14208984375","63","63","63","0.107421875","0.107421875","0.107421875"
"92160000","64","64","64","0.1015625","0.1015625","0.1015625","64","64","64","0.09814453125","0.09814453125","0.09814453125","64","64","64","0.1083984375","0.1083984375","0.1083984375","64","64","64","0.125","0.125","0.125","64","64","64","0.1083984375","0.1083984375","0.1083984375","64","64","64","0.14013671875","0.14013671875","0.14013671875","64","64","64","0.1318359375","0.1318359375","0.1318359375","64","64","64","0.13330078125","0.13330078125","0.13330078125","64","64","64","0.115234375","0.115234375","0.115234375","64","64","64","0.10302734375","0.10302734375","0.10302734375"
"96256000","67","67","67","0.10107421875","0.10107421875","0.10107421875","67","67","67","0.0927734375","0.0927734375","0.0927734375","67","67","67","0.0986328125","0.0986328125","0.0986328125","67","67","67","0.13330078125","0.13330078125","0.13330078125","67","67","67","0.11572265625","0.11572265625","0.11572265625","67","67","67","0.12841796875","0.12841796875","0.12841796875","67","67","67","0.11376953125","0.11376953125","0.11376953125","67","67","67","0.12060546875","0.12060546875","0.12060546875","67","67","67","0.119140625","0.119140625","0.119140625","67","67","67","0.1025390625","0.1025390625","0.1025390625"
"98304000","68","68","68","0.10302734375","0.10302734375","0.10302734375","68","68","68","0.08837890625","0.08837890625","0.08837890625","68","68","68","0.083984375","0.083984375","0.083984375","68","68","68","0.12744140625","0.12744140625","0.12744140625","68","68","68","0.10205078125","0.10205078125","0.10205078125","68","68","68","0.1259765625","0.1259765625","0.1259765625","68","68","68","0.115234375","0.115234375","0.115234375","68","68","68","0.1142578125","0.1142578125","0.1142578125","68","68","68","0.1298828125","0.1298828125","0.1298828125","68","68","68","0.09521484375","0.09521484375","0.09521484375"
"100352000","70","70","70","0.103515625","0.103515625","0.103515625","70","70","70","0.083984375","0.083984375","0.083984375","70","70","70","0.076171875","0.076171875","0.076171875","70","70","70","0.11083984375","0.11083984375","0.11083984375","70","70","70","0.11083984375","0.11083984375","0.11083984375","70","70","70","0.11279296875","0.11279296875","0.11279296875","70","70","70","0.1044921875","0.1044921875","0.1044921875","70","70","70","0.08837890625","0.08837890625","0.08837890625","70","70","70","0.1171875","0.1171875","0.1171875","70","70","70","0.0849609375","0.0849609375","0.0849609375"
"102400000","71","71","71","0.08837890625","0.08837890625","0.08837890625","71","71","71","0.0693359375","0.0693359375","0.0693359375","71","71","71","0.08544921875","0.08544921875","0.08544921875","71","71","71","0.10302734375","0.10302734375","0.10302734375","71","71","71","0.111328125","0.111328125","0.111328125","71","71","71","0.1201171875","0.1201171875","0.1201171875","71","71","71","0.09423828125","0.09423828125","0.09423828125","71","71","71","0.1005859375","0.1005859375","0.1005859375","71","71","71","0.103515625","0.103515625","0.103515625","71","71","71","0.09375","0.09375","0.09375"
"104448000","72","72","72","0.0986328125","0.0986328125","0.0986328125","72","72","72","0.07275390625","0.07275390625","0.07275390625","72","72","72","0.07373046875","0.07373046875","0.07373046875","72","72","72","0.10498046875","0.10498046875","0.10498046875","72","72","72","0.10498046875","0.10498046875","0.10498046875","72","72","72","0.10498046875","0.10498046875","0.10498046875","72","72","72","0.0830078125","0.0830078125","0.0830078125","72","72","72","0.09326171875","0.09326171875","0.09326171875","72","72","72","0.09814453125","0.09814453125","0.09814453125","72","72","72","0.087890625","0.087890625","0.087890625"
"106496000","73","73","73","0.09130859375","0.09130859375","0.09130859375","73","73","73","0.078125","0.078125","0.078125","73","73","73","0.0703125","0.0703125","0.0703125","73","73","73","0.09130859375","0.09130859375","0.09130859375","73","73","73","0.091796875","0.091796875","0.091796875","73","73","73","0.10595703125","0.10595703125","0.10595703125","73","73","73","0.07470703125","0.07470703125","0.07470703125","73","73","73","0.09228515625","0.09228515625","0.09228515625","73","73","73","0.10498046875","0.10498046875","0.10498046875","73","73","73","0.0966796875","0.0966796875","0.0966796875"
"108544000","74","74","74","0.09423828125","0.09423828125","0.09423828125","74","74","74","0.05615234375","0.05615234375","0.05615234375","74","74","74","0.0810546875","0.0810546875","0.0810546875","74","74","74","0.09228515625","0.09228515625","0.09228515625","74","74","74","0.08935546875","0.08935546875","0.08935546875","74","74","74","0.0927734375","0.0927734375","0.0927734375","74","74","74","0.07958984375","0.07958984375","0.07958984375","74","74","74","0.08447265625","0.08447265625","0.08447265625","74","74","74","0.103515625","0.103515625","0.103515625","74","74","74","0.08251953125","0.08251953125","0.08251953125"
"110592000","76","76","76","0.083984375","0.083984375","0.083984375","76","76","76","0.07275390625","0.07275390625","0.07275390625","76","76","76","0.0771484375","0.0771484375","0.0771484375","76","76","76","0.0927734375","0.0927734375","0.0927734375","76","76","76","0.09521484375","0.09521484375","0.09521484375","76","76","76","0.0947265625","0.0947265625","0.0947265625","76","76","76","0.07958984375","0.07958984375","0.07958984375","76","76","76","0.1025390625","0.1025390625","0.1025390625","76","76","76","0.10546875","0.10546875","0.10546875","76","76","76","0.09228515625","0.09228515625","0.09228515625"
"112640000","77","77","77","0.07666015625","0.07666015625","0.07666015625","77","77","77","0.060546875","0.060546875","0.060546875","77","77","77","0.0595703125","0.0595703125","0.0595703125","77","77","77","0.09130859375","0.09130859375","0.09130859375","77","77","77","0.0927734375","0.0927734375","0.0927734375","77","77","77","0.0888671875","0.0888671875","0.0888671875","77","77","77","0.05908203125","0.05908203125","0.05908203125","77","77","77","0.08935546875","0.08935546875","0.08935546875","77","77","77","0.08935546875","0.08935546875","0.08935546875","77","77","77","0.07958984375","0.07958984375","0.07958984375"
"114688000","78","78","78","0.08056640625","0.08056640625","0.08056640625","78","78","78","0.04736328125","0.04736328125","0.04736328125","78","78","78","0.05810546875","0.05810546875","0.05810546875","78","78","78","0.07861328125","0.07861328125","0.07861328125","78","78","78","0.10595703125","0.10595703125","0.10595703125","78","78","78","0.076171875","0.076171875","0.076171875","78","78","78","0.0693359375","0.0693359375","0.0693359375","78","78","78","0.076171875","0.076171875","0.076171875","78","78","78","0.095703125","0.095703125","0.095703125","78","78","78","0.0751953125","0.0751953125","0.0751953125"
"116736000","80","80","80","0.0703125","0.0703125","0.0703125","80","80","80","0.06591796875","0.06591796875","0.06591796875","80","80","80","0.05224609375","0.05224609375","0.05224609375","80","80","80","0.07080078125","0.07080078125","0.07080078125","80","80","80","0.087890625","0.087890625","0.087890625","80","80","80","0.0859375","0.0859375","0.0859375","80","80","80","0.06689453125","0.06689453125","0.06689453125","80","80","80","0.07470703125","0.07470703125","0.07470703125","80","80","80","0.08837890625","0.08837890625","0.08837890625","80","80","80","0.08544921875","0.08544921875","0.08544921875"
"118784000","81","81","81","0.06884765625","0.06884765625","0.06884765625","81","81","81","0.0517578125","0.0517578125","0.0517578125","81","81","81","0.05859375","0.05859375","0.05859375","81","81","81","0.060546875","0.060546875","0.060546875","81","81","81","0.08349609375","0.08349609375","0.08349609375","81","81","81","0.0849609375","0.0849609375","0.0849609375","81","81","81","0.06689453125","0.06689453125","0.06689453125","81","81","81","0.0908203125","0.0908203125","0.0908203125","81","81","81","0.08935546875","0.08935546875","0.08935546875","81","81","81","0.07421875","0.07421875","0.07421875"
"120832000","83","83","83","0.07861328125","0.07861328125","0.07861328125","83","83","83","0.06005859375","0.06005859375","0.06005859375","83","83","83","0.0625","0.0625","0.0625","83","83","83","0.07080078125","0.07080078125","0.07080078125","83","83","83","0.0859375","0.0859375","0.0859375","83","83","83","0.08740234375","0.08740234375","0.08740234375","83","83","83","0.06201171875","0.06201171875","0.06201171875","83","83","83","0.07421875","0.07421875","0.07421875","83","83","83","0.091796875","0.091796875","0.091796875","83","83","83","0.07763671875","0.07763671875","0.07763671875"
"122880000","84","84","84","0.06884765625","0.06884765625","0.06884765625","84","84","84","0.0576171875","0.0576171875","0.0576171875","84","84","84","0.05517578125","0.05517578125","0.05517578125","84","84","84","0.07470703125","0.07470703125","0.07470703125","84","84","84","0.08349609375","0.08349609375","0.08349609375","84","84","84","0.06640625","0.06640625","0.06640625","84","84","84","0.0576171875","0.0576171875","0.0576171875","84","84","84","0.06787109375","0.06787109375","0.06787109375","84","84","84","0.078125","0.078125","0.078125","84","84","84","0.0673828125","0.0673828125","0.0673828125"
"124928000","85","85","85","0.072265625","0.072265625","0.072265625","85","85","85","0.04833984375","0.04833984375","0.04833984375","85","85","85","0.06201171875","0.06201171875","0.06201171875","85","85","85","0.05517578125","0.05517578125","0.05517578125","85","85","85","0.07470703125","0.07470703125","0.07470703125","85","85","85","0.06201171875","0.06201171875","0.06201171875","85","85","85","0.0576171875","0.0576171875","0.0576171875","85","85","85","0.0556640625","0.0556640625","0.0556640625","85","85","85","0.078125","0.078125","0.078125","85","85","85","0.07080078125","0.07080078125","0.07080078125"
"126976000","87","87","87","0.06396484375","0.06396484375","0.06396484375","87","87","87","0.05615234375","0.05615234375","0.05615234375","87","87","87","0.06005859375","0.06005859375","0.06005859375","87","87","87","0.05029296875","0.05029296875","0.05029296875","87","87","87","0.07666015625","0.07666015625","0.07666015625","87","87","87","0.07080078125","0.07080078125","0.07080078125","87","87","87","0.06201171875","0.06201171875","0.06201171875","87","87","87","0.046875","0.046875","0.046875","87","87","87","0.07421875","0.07421875","0.07421875","87","87","87","0.05517578125","0.05517578125","0.05517578125"
"129024000","88","88","88","0.064453125","0.064453125","0.064453125","88","88","88","0.044921875","0.044921875","0.044921875","88","88","88","0.05322265625","0.05322265625","0.05322265625","88","88","88","0.05078125","0.05078125","0.05078125","88","88","88","0.07568359375","0.07568359375","0.07568359375","88","88","88","0.06640625","0.06640625","0.06640625","88","88","88","0.0576171875","0.0576171875","0.0576171875","88","88","88","0.07470703125","0.07470703125","0.07470703125","88","88","88","0.0703125","0.0703125","0.0703125","88","88","88","0.0673828125","0.0673828125","0.0673828125"
"133120000","91","91","91","0.0673828125","0.0673828125","0.0673828125","91","91","91","0.0517578125","0.0517578125","0.0517578125","91","91","91","0.0458984375","0.0458984375","0.0458984375","91","91","91","0.0595703125","0.0595703125","0.0595703125","91","91","91","0.0615234375","0.0615234375","0.0615234375","91","91","91","0.06298828125","0.06298828125","0.06298828125","91","91","91","0.05712890625","0.05712890625","0.05712890625","91","91","91","0.05859375","0.05859375","0.05859375","91","91","91","0.06689453125","0.06689453125","0.06689453125","91","91","91","0.06298828125","0.06298828125","0.06298828125"
"135168000","92","92","92","0.0546875","0.0546875","0.0546875","92","92","92","0.0478515625","0.0478515625","0.0478515625","92","92","92","0.0439453125","0.0439453125","0.0439453125","92","92","92","0.06396484375","0.06396484375","0.06396484375","92","92","92","0.06201171875","0.06201171875","0.06201171875","92","92","92","0.06005859375","0.06005859375","0.06005859375","92","92","92","0.0576171875","0.0576171875","0.0576171875","92","92","92","0.06787109375","0.06787109375","0.06787109375","92","92","92","0.0634765625","0.0634765625","0.0634765625","92","92","92","0.064453125","0.064453125","0.064453125"
"137216000","94","94","94","0.0556640625","0.0556640625","0.0556640625","94","94","94","0.0537109375","0.0537109375","0.0537109375","94","94","94","0.05078125","0.05078125","0.05078125","94","94","94","0.05859375","0.05859375","0.05859375","94","94","94","0.068359375","0.068359375","0.068359375","94","94","94","0.0576171875","0.0576171875","0.0576171875","94","94","94","0.052734375","0.052734375","0.052734375","94","94","94","0.04931640625","0.04931640625","0.04931640625","94","94","94","0.064453125","0.064453125","0.064453125","94","94","94","0.06201171875","0.06201171875","0.06201171875"
"139264000","95","95","95","0.04833984375","0.04833984375","0.04833984375","95","95","95","0.05126953125","0.05126953125","0.05126953125","95","95","95","0.05126953125","0.05126953125","0.05126953125","95","95","95","0.052734375","0.052734375","0.052734375","95","95","95","0.0693359375","0.0693359375","0.0693359375","95","95","95","0.05810546875","0.05810546875","0.05810546875","95","95","95","0.04443359375","0.04443359375","0.04443359375","95","95","95","0.05908203125","0.05908203125","0.05908203125","95","95","95","0.060546875","0.060546875","0.060546875","95","95","95","0.0654296875","0.0654296875","0.0654296875"
"143360000","98","98","98","0.04345703125","0.04345703125","0.04345703125","98","98","98","0.04931640625","0.04931640625","0.04931640625","98","98","98","0.0439453125","0.0439453125","0.0439453125","98","98","98","0.0537109375","0.0537109375","0.0537109375","98","98","98","0.0654296875","0.0654296875","0.0654296875","98","98","98","0.05517578125","0.05517578125","0.05517578125","98","98","98","0.05224609375","0.05224609375","0.05224609375","98","98","98","0.05029296875","0.05029296875","0.05029296875","98","98","98","0.06494140625","0.06494140625","0.06494140625","98","98","98","0.0537109375","0.0537109375","0.0537109375"
"145408000","102","102","102","0.0615234375","0.0615234375","0.0615234375","102","102","102","0.0439453125","0.0439453125","0.0439453125","102","102","102","0.0380859375","0.0380859375","0.0380859375","102","102","102","0.052734375","0.052734375","0.052734375","102","102","102","0.068359375","0.068359375","0.068359375","102","102","102","0.056640625","0.056640625","0.056640625","102","102","102","0.041015625","0.041015625","0.041015625","102","102","102","0.06201171875","0.06201171875","0.06201171875","102","102","102","0.05908203125","0.05908203125","0.05908203125","102","102","102","0.05322265625","0.05322265625","0.05322265625"
"147456000","104","104","104","0.05908203125","0.05908203125","0.05908203125","104","104","104","0.041015625","0.041015625","0.041015625","104","104","104","0.0498046875","0.0498046875","0.0498046875","104","104","104","0.05322265625","0.05322265625","0.05322265625","104","104","104","0.060546875","0.060546875","0.060546875","104","104","104","0.0546875","0.0546875","0.0546875","104","104","104","0.041015625","0.041015625","0.041015625","104","104","104","0.06005859375","0.06005859375","0.06005859375","104","104","104","0.05908203125","0.05908203125","0.05908203125","104","104","104","0.05322265625","0.05322265625","0.05322265625"
"149504000","105","105","105","0.0576171875","0.0576171875","0.0576171875","105","105","105","0.046875","0.046875","0.046875","105","105","105","0.0419921875","0.0419921875","0.0419921875","105","105","105","0.05224609375","0.05224609375","0.05224609375","105","105","105","0.06640625","0.06640625","0.06640625","105","105","105","0.05859375","0.05859375","0.05859375","105","105","105","0.05029296875","0.05029296875","0.05029296875","105","105","105","0.060546875","0.060546875","0.060546875","105","105","105","0.0576171875","0.0576171875","0.0576171875","105","105","105","0.06201171875","0.06201171875","0.06201171875"
"153600000","108","108","108","0.0556640625","0.0556640625","0.0556640625","108","108","108","0.03857421875","0.03857421875","0.03857421875","108","108","108","0.05859375","0.05859375","0.05859375","108","108","108","0.046875","0.046875","0.046875","108","108","108","0.0595703125","0.0595703125","0.0595703125","108","108","108","0.0537109375","0.0537109375","0.0537109375","108","108","108","0.05224609375","0.05224609375","0.05224609375","108","108","108","0.05615234375","0.05615234375","0.05615234375","108","108","108","0.0439453125","0.0439453125","0.0439453125","108","108","108","0.04833984375","0.04833984375","0.04833984375"
"155648000","109","109","109","0.04736328125","0.04736328125","0.04736328125","109","109","109","0.03857421875","0.03857421875","0.03857421875","109","109","109","0.05029296875","0.05029296875","0.05029296875","109","109","109","0.05517578125","0.05517578125","0.05517578125","109","109","109","0.0625","0.0625","0.0625","109","109","109","0.060546875","0.060546875","0.060546875","109","109","109","0.04345703125","0.04345703125","0.04345703125","109","109","109","0.0478515625","0.0478515625","0.0478515625","109","109","109","0.0498046875","0.0498046875","0.0498046875","109","109","109","0.05615234375","0.05615234375","0.05615234375"
"157696000","111","111","111","0.06005859375","0.06005859375","0.06005859375","111","111","111","0.05126953125","0.05126953125","0.05126953125","111","111","111","0.04638671875","0.04638671875","0.04638671875","111","111","111","0.06201171875","0.06201171875","0.06201171875","111","111","111","0.052734375","0.052734375","0.052734375","111","111","111","0.0478515625","0.0478515625","0.0478515625","111","111","111","0.05029296875","0.05029296875","0.05029296875","111","111","111","0.0654296875","0.0654296875","0.0654296875","111","111","111","0.05712890625","0.05712890625","0.05712890625","111","111","111","0.05322265625","0.05322265625","0.05322265625"
"159744000","112","112","112","0.0556640625","0.0556640625","0.0556640625","112","112","112","0.0458984375","0.0458984375","0.0458984375","112","112","112","0.03857421875","0.03857421875","0.03857421875","112","112","112","0.04638671875","0.04638671875","0.04638671875","112","112","112","0.06005859375","0.06005859375","0.06005859375","112","112","112","0.0517578125","0.0517578125","0.0517578125","112","112","112","0.0419921875","0.0419921875","0.0419921875","112","112","112","0.052734375","0.052734375","0.052734375","112","112","112","0.05419921875","0.05419921875","0.05419921875","112","112","112","0.06005859375","0.06005859375","0.06005859375"
"161792000","113","113","113","0.04638671875","0.04638671875","0.04638671875","113","113","113","0.0341796875","0.0341796875","0.0341796875","113","113","113","0.052734375","0.052734375","0.052734375","113","113","113","0.0419921875","0.0419921875","0.0419921875","113","113","113","0.06298828125","0.06298828125","0.06298828125","113","113","113","0.0478515625","0.0478515625","0.0478515625","113","113","113","0.04931640625","0.04931640625","0.04931640625","113","113","113","0.05078125","0.05078125","0.05078125","113","113","113","0.0537109375","0.0537109375","0.0537109375","113","113","113","0.05810546875","0.05810546875","0.05810546875"
"163840000","115","115","115","0.0458984375","0.0458984375","0.0458984375","115","115","115","0.0419921875","0.0419921875","0.0419921875","115","115","115","0.0380859375","0.0380859375","0.0380859375","115","115","115","0.044921875","0.044921875","0.044921875","115","115","115","0.052734375","0.052734375","0.052734375","115","115","115","0.04541015625","0.04541015625","0.04541015625","115","115","115","0.0390625","0.0390625","0.0390625","115","115","115","0.0498046875","0.0498046875","0.0498046875","115","115","115","0.05078125","0.05078125","0.05078125","115","115","115","0.04833984375","0.04833984375","0.04833984375"
"165888000","116","116","116","0.04638671875","0.04638671875","0.04638671875","116","116","116","0.03662109375","0.03662109375","0.03662109375","116","116","116","0.05078125","0.05078125","0.05078125","116","116","116","0.04248046875","0.04248046875","0.04248046875","116","116","116","0.05908203125","0.05908203125","0.05908203125","116","116","116","0.037109375","0.037109375","0.037109375","116","116","116","0.03955078125","0.03955078125","0.03955078125","116","116","116","0.0517578125","0.0517578125","0.0517578125","116","116","116","0.0498046875","0.0498046875","0.0498046875","116","116","116","0.04638671875","0.04638671875","0.04638671875"
"167936000","118","118","118","0.064453125","0.064453125","0.064453125","118","118","118","0.056640625","0.056640625","0.056640625","118","118","118","0.05908203125","0.05908203125","0.05908203125","118","118","118","0.05078125","0.05078125","0.05078125","118","118","118","0.0576171875","0.0576171875","0.0576171875","118","118","118","0.0556640625","0.0556640625","0.0556640625","118","118","118","0.0537109375","0.0537109375","0.0537109375","118","118","118","0.0517578125","0.0517578125","0.0517578125","118","118","118","0.05908203125","0.05908203125","0.05908203125","118","118","118","0.05810546875","0.05810546875","0.05810546875"
